quarter, time remaining, action 20051102,score
4,2:30,Charlie Villanueva Shooting Foul. Antawn Jamison gains possession.,94 - 93
4,2:30,Antawn Jamison made Free Throw 1 of 2.,95 - 93
4,2:30,Matt Bonner enters the game for Charlie Villanueva.,95 - 93
4,2:30,Antawn Jamison missed Free Throw 2 of 2.,95 - 93
4,2:29,Jalen Rose defensive rebound.,95 - 93
4,2:06,Matt Bonner missed 25 ft three point jumper.,95 - 93
4,2:04,Brendan Haywood defensive rebound.,95 - 93
4,1:47,Chucky Atkins made driving layup.,97 - 93
4,1:44,Toronto Full Timeout.,97 - 93
4,1:44,Michael Ruffin enters the game for Antawn Jamison.,97 - 93
4,1:37,Jalen Rose Turnover,97 - 93
4,1:37,Antawn Jamison enters the game for Michael Ruffin.,97 - 93
4,1:23,Gilbert Arenas missed driving layup.,97 - 93
4,1:22,Mike James defensive rebound.,97 - 93
4,1:15,Mike James made 25 ft three point jumper. Assisted by Jalen Rose.,97 - 96
4,58.9,Antawn Jamison missed 19 ft jumper.,97 - 96
4,56.9,Chris Bosh defensive rebound.,97 - 96
4,41.9,Matt Bonner missed layup.,97 - 96
4,39.9,Brendan Haywood defensive rebound.,97 - 96
4,23.9,Gilbert Arenas missed driving layup.,97 - 96
4,22.4,Chris Bosh defensive rebound.,97 - 96
4,14.2,Jalen Rose Offensive Foul. Brendan Haywood gains possession.,97 - 96
4,14.2,Jalen Rose Turnover,97 - 96
4,14.2,Washington Full Timeout.,97 - 96
4,14.2,Antonio Daniels enters the game for Brendan Haywood.,97 - 96
4,14.2,Joey Graham enters the game for Jalen Rose.,97 - 96
4,14.2,Washington 20 Sec. Timeout.,97 - 96
4,12.7,Antawn Jamison made 9 ft jumper. Assisted by Antonio Daniels.,99 - 96
4,12.7,Toronto Full Timeout.,99 - 96
4,12.7,Michael Ruffin enters the game for Antawn Jamison.,99 - 96
4,12.7,Jalen Rose enters the game for Joey Graham.,99 - 96
4,12.7,Charlie Villanueva enters the game for Chris Bosh.,99 - 96
4,8.9,Charlie Villanueva missed 26 ft three point jumper.,99 - 96
4,6.9,Matt Bonner offensive rebound.,99 - 96
4,2.9,Jalen Rose missed 25 ft three point jumper.,99 - 96
4,1.4,Gilbert Arenas defensive rebound.,99 - 96
4,0.0,End of the 4th Quarter.,99 - 96
4,0.0,End Game,99 - 96
